position;id_category;id_product;reference;id_shop_default;ean13;price_tax_excluded;ecotax_tax_excluded;id_tax_rules_group;active;price_professionnel;price_particulier;price_professionnel_raw;price_particulier_raw;price_tax_included_particulier;price_tax_included_professionnel;name;link_rewrite;category;id_image;legend;final_price_tax_excluded;quantity
951;122;11409;NSB-5051889676980;1;5051889676980;0.000000;0.000000;70;1;"14.13 €";"14.13 €";14.130000;14.130000;"16.96 €";"16.96 €";"Red Storm Blu-ray";red-storm-blu-ray;"DVD & Blueray";21365;;0.000000;1
950;122;11408;NSB-3475001063465;1;3475001063465;0.000000;0.000000;70;1;"12.50 €";"12.50 €";12.500000;12.500000;"15.00 €";"15.00 €";"Red Blu-ray 4K Ultra HD";red-blu-ray-4k-ultra-hd;"DVD & Blueray";27420;;0.000000;1
949;122;11407;NSB-5051889621935;1;5051889621935;0.000000;0.000000;70;1;"8.33 €";"8.33 €";8.330000;8.330000;"10.00 €";"10.00 €";"Ready Player One - Blu-ray [Blu-ray + Digital]";ready-player-one-blu-ray-blu-ray-digital-;"DVD & Blueray";27409;;0.000000;42
948;122;11406;NSB-5051889672579;1;5051889672579;0.000000;0.000000;70;1;"8.33 €";"8.33 €";8.330000;8.330000;"10.00 €";"10.00 €";"Pour une poignée de dollars DVD";pour-une-poignee-de-dollars-dvd;"DVD & Blueray";27405;;0.000000;1
946;122;11404;NSB-3475001061485;1;3475001061485;0.000000;0.000000;70;1;"12.49 €";"12.49 €";12.490000;12.490000;"14.99 €";"14.99 €";"Poly [Blu-Ray]";poly-blu-ray-;"DVD & Blueray";21351;;0.000000;1
945;122;11403;NSB-3459370474527;1;3459370474527;0.000000;0.000000;70;1;"12.49 €";"12.49 €";12.490000;12.490000;"14.99 €";"14.99 €";"Pocahontas DVD : Une légende indienne";pocahontas-dvd-une-legende-indienne;"DVD & Blueray";21348;;0.000000;1
944;122;11402;NSB-5051889672647;1;5051889672647;0.000000;0.000000;70;1;"12.50 €";"12.50 €";12.500000;12.500000;"15.00 €";"15.00 €";"Platoon Blu-ray";platoon-blu-ray;"DVD & Blueray";21345;;0.000000;1
943;122;11401;NSB-5051889161516;1;5051889161516;0.000000;0.000000;70;1;"41.67 €";"41.67 €";41.670000;41.670000;"50.00 €";"50.00 €";"Planete rouge";planete-rouge;"DVD & Blueray";21342;;0.000000;1
942;122;11400;NSB-5051889703808;1;5051889703808;0.000000;0.000000;70;1;"10.83 €";"10.83 €";10.830000;10.830000;"13.00 €";"13.00 €";"Placés DVD";places-dvd;"DVD & Blueray";21339;;0.000000;1
940;122;11398;NSB-5051889665809;1;5051889665809;0.000000;0.000000;70;1;"7.50 €";"7.50 €";7.500000;7.500000;"9.00 €";"9.00 €";"Place des Victoires DVD";place-des-victoires-dvd;"DVD & Blueray";21333;;0.000000;1
